"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"山东分类系统","08-培训测评","02-培训统计-tab-
-02-人员详情","0","0","1","0","0"
"山东分类系统","01-基础数据","01-基础数据-
-02-获取年份","0","0","1","0","0"
"山东分类系统","04-培训学分查询","01-查询查询-
-01-默认条件查询","0","0","1","0","0"
"山东分类系统","99-逻辑操作","01-导入培训记录-
-02-获取审核的id","0","0","1","0","0"
"山东分类系统","02-首页","12-公司数据-
-机构类型查询","0","0","1","0","0"
"山东分类系统","02-首页","03-数字概览-
-总已参训人数/总计划人数、总达标人数/总参训人数","0","0","1","0","0"
"山东分类系统","88-账号管理","09-添加账号-
-成功添加账号","0","0","1","0","0"
"山东分类系统","99-逻辑操作","01-导入培训记录-
-01-导入-待审核","0","0","1","0","0"
"山东分类系统","02-首页","15-公司数据-
-自定义排序倒序","0","0","1","0","0"
"山东分类系统","99-逻辑操作","01-导入培训记录-
-03-协会公司审核","0","1","0","0","0"
"山东分类系统","02-首页","01-数字概览-
-各类达标情况","0","0","1","0","0"
"山东分类系统","07-培训档案管理","01-默认查询条件-
-","0","0","1","0","0"
"山东分类系统","12-测评模块","03-试卷管理-
-","0","0","1","0","0"
"山东分类系统","88-账号管理","01-列表账号管理数据-
-默认条件查询","0","0","1","0","0"
"山东分类系统","09-导入权限管理","01-默认查询条件-
-","0","0","1","0","0"
"山东分类系统","10-机构管理","02-默认条件查询公司类型-
-","0","0","1","0","0"
"山东分类系统","12-测评模块","02-试卷模板-
-","0","0","1","0","0"
"山东分类系统","02-首页","16-公司数据-
-自定义排序正序","0","0","1","0","0"
"山东分类系统","02-首页","04-学员详情-
-查询学员信息-00正常参数查询","0","0","1","0","0"
"山东分类系统","02-首页","10-学员详情-
-进入学员详情","0","0","1","0","0"
"山东分类系统","02-首页","02-数字概览-
-走势图达标情况","0","0","1","0","0"
"山东分类系统","02-首页","06-学员详情-
-查询学员信息-02公司查询","0","0","1","0","0"
"山东分类系统","06-第三方临时公司","01-默认查询条件-
-","0","0","1","0","0"
"山东分类系统","11-销售能力","02-销售能力统计-
-01-默认查询","0","0","1","0","0"
"山东分类系统","10-机构管理","01-默认条件查询机构-
-","0","0","1","0","0"
"山东分类系统","02-首页","08-学员详情-
-查询学员信息-04达标状态查询","0","0","1","0","0"
"山东分类系统","08-培训测评","02-培训统计-tab-
-01-默认条件查询","0","0","1","0","0"
"山东分类系统","02-首页","09-学员详情-
-查询学员信息-05销售能力查询","0","0","1","0","0"
"山东分类系统","88-账号管理","10-删除账号-
-多个账号删除","0","0","1","0","0"
"山东分类系统","01-基础数据","01-基础数据-
-02-获取省 地市","0","0","1","0","0"
"山东分类系统","09-导入权限管理","02-全条件查询-
-","0","0","1","0","0"
"山东分类系统","05-培训记录统计","01-默认条件查询-
-","0","0","1","0","0"
"山东分类系统","01-基础数据","01-基础数据-
-03-获取账号所属机构","0","0","1","0","0"
"山东分类系统","05-培训记录统计","02-培训方式：全部-
-","0","0","1","0","0"
"山东分类系统","88-账号管理","09-添加账号-
-重复名称添加","0","0","1","0","0"
"山东分类系统","02-首页","05-学员详情-
-查询学员信息-01姓名查询","0","0","1","0","0"
"山东分类系统","11-销售能力","01-销售能力查询-
-01-默认查询","0","0","1","0","0"
"山东分类系统","02-首页","07-学员详情-
-查询学员信息-03培训类型查询","0","0","1","0","0"
"山东分类系统","12-测评模块","01-题库管理-
-","0","0","1","0","0"
"山东分类系统","88-账号管理","01-列表账号管理数据-
-01 全条件查询","0","0","1","0","0"
"山东分类系统","01-基础数据","01-基础数据-
-01-登录基础信息","0","0","1","0","0"
"山东分类系统","02-首页","13-公司数据-
-公司名称查询","0","0","1","0","0"
"山东分类系统","03-培训记录查询","01-默认条件查询-
-默认查询","0","0","1","0","0"
"山东分类系统","02-首页","11-公司数据-
-默认参数查询","0","0","1","0","0"
